FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
29;Publix;Supermarket;2246 Winchester Rd NE;Huntsville;459202.110527;1570938.14526;Grocery;35811;;;;"{""coordinates"": [-86.48953626719347, 34.81607283656571], ""type"": ""Point""}";34.81607283656571, -86.48953626719347
207;Jordan Lane Texaco;Convenience Store;2424 Jordan Ln NW;Huntsville;414235.639109;1549370.77107;Convenience Store;35816;;;;"{""coordinates"": [-86.63875640470701, 34.755919480509824], ""type"": ""Point""}";34.755919480509824, -86.63875640470701
42;Walmart Supercenter;Supermarket;11610 Memorial Pky SW;Huntsville;434309.736428;1498271.91133;Grocery;35803;;;;"{""coordinates"": [-86.57068654089171, 34.61595177816581], ""type"": ""Point""}";34.61595177816581, -86.57068654089171
86;Publix;Supermarket;12070 County Line Rd Ste C;Madison;369312.247;1540704.876;Grocery;35756;;;;"{""coordinates"": [-86.78802105601186, 34.7310310158215], ""type"": ""Point""}";34.7310310158215, -86.78802105601186
60;Circle S Food Store;Convenience Store;3726 Blue Spring Rd NW;Huntsville;426458.832182;1555174.90054;Convenience Store;35810;;;;"{""coordinates"": [-86.59821425528824, 34.772128048757004], ""type"": ""Point""}";34.772128048757004, -86.59821425528824
224;Jack Food Mart;Convenience Store;7525 Bailey Cove Rd SE;Huntsville;444061.463972;1518165.47095;Convenience Store;35802;;;;"{""coordinates"": [-86.53874131641129, 34.6708006208354], ""type"": ""Point""}";34.6708006208354, -86.53874131641129
118;Discount Food;Convenience Store;2323 Golf Rd SW;Huntsville;431240.20615;1521643.66314;Convenience Store;35802;;;;"{""coordinates"": [-86.58146408471836, 34.680102583715346], ""type"": ""Point""}";34.680102583715346, -86.58146408471836
156;Shell Food Mart;Convenience Store;2880 Jordan Ln NW;Huntsville;410947.510843;1554906.41912;Convenience Store;35816;;;;"{""coordinates"": [-86.64985175892078, 34.77105500801355], ""type"": ""Point""}";34.77105500801355, -86.64985175892078
92;Costco;Warehouse Club;1205 Memorial Pky NW;Huntsville;424849.926935;1544932.95712;Bulk Merchandise;35801;;;;"{""coordinates"": [-86.60330984774552, 34.743955627226796], ""type"": ""Point""}";34.743955627226796, -86.60330984774552
238;La Michoacana;Specialty;2007 University Dr NW;Huntsville;425231.348745;1543132.56144;Grocery;35816;;;;"{""coordinates"": [-86.60199451409812, 34.73901723659996], ""type"": ""Point""}";34.73901723659996, -86.60199451409812
144;Valley's Gas N Go;Convenience Store;4112 Bob Wallace Ave SW;Huntsville;417919.963105;1533784.35507;Convenience Store;35805;;;;"{""coordinates"": [-86.62608282344918, 34.71317803786607], ""type"": ""Point""}";34.71317803786607, -86.62608282344918
169;Greenbrier Fuel City;Convenience Store;6681 Swancott Rd SW;Madison;351999.301968;1506324.66393;Convenience Store;35756;;;;"{""coordinates"": [-86.84448369494675, 34.63611491894195], ""type"": ""Point""}";34.63611491894195, -86.84448369494675
